ccode,team,year,season,n_ath,gold,silver,bronze,total,cw_name,mrgdppc,sd_mrgdppc,pwtrgdp,sd_pwtrgdp,pwtpop,sd_pwtpop,euds,aeuds,polity2,v2x_polyarchy
670,Saudi Arabia,1996,Summer,29,0,0,0,0,Saudi Arabia,20955.006204393165,3313.870003502354,455406.76403287746,196528.63011029278,19.09162376469245,1.3055210919079532,-1.035478831997977,-1.8432083885987418,-10,0.016
670,Saudi Arabia,2000,Summer,18,0,1,1,2,Saudi Arabia,21542.08088297305,3292.9509279088525,506833.40115067526,220183.494955638,20.7422644351334,1.4018257208933804,-0.7690579989091949,-1.5767875555099597,-10,0.018
670,Saudi Arabia,2004,Summer,16,0,0,0,0,Saudi Arabia,23979.505561821232,3824.2191272393025,634686.2148102635,270842.7688229989,23.14388695330588,1.617503095653044,-0.715180656554032,-1.5229102131547967,-10,0.018
670,Saudi Arabia,2008,Summer,14,0,0,0,0,Saudi Arabia,28009.302004233607,4502.289846696138,811586.4033576206,343911.69716148486,26.030196642955307,1.7875738135690993,-0.5947585448014993,-1.4024881014022639,-10,0.02
670,Saudi Arabia,2012,Summer,18,0,0,1,1,Saudi Arabia,32279.876399337525,5117.130838583435,1073868.1631136162,470482.63087504165,29.234039373433585,2.0184852258799206,-0.7062409787785481,-1.513970535379313,-10,0.02
670,Saudi Arabia,2016,Summer,10,0,0,0,0,Saudi Arabia,31085.054263767037,4833.7331895442,1114718.440867264,482695.33887754334,32.22300783717187,2.2721123082749295,-0.6885192704094599,-1.4962488270102248,-10,0.016
433,Senegal,1964,Summer,12,0,0,0,0,Senegal,2306.3311162523746,353.9480838340343,9324.135355978273,4044.5813003177846,3.5867881883651354,0.24674488319549143,-0.09099070339933887,-0.8987202600001036,-7,0.327
433,Senegal,1968,Summer,21,0,0,0,0,Senegal,2198.921071750747,336.4259800492816,9959.117214877608,4407.746591742061,4.021928287045064,0.2741490882406902,-0.09099070339933887,-0.8987202600001036,-7,0.348
433,Senegal,1972,Summer,38,0,0,0,0,Senegal,2080.8859402460653,331.87450438719753,10492.376510391674,4498.763350968199,4.534839031939571,0.317165479582429,-0.1009659298826559,-0.9086954864834207,-7,0.381
433,Senegal,1976,Summer,21,0,0,0,0,Senegal,2112.3550448265783,331.3954113431739,12124.026529171975,5392.571507399565,5.0843992859368425,0.35162795088503196,0.08543825281701647,-0.7222913037837483,-6,0.373
433,Senegal,1980,Summer,32,0,0,0,0,Senegal,1963.5242821961747,312.2027936606414,12564.581002016972,5378.746859281798,5.6768529978135955,0.4009858400014532,0.3804568806472428,-0.4272726759535219,-2,0.414
433,Senegal,1984,Summer,24,0,0,0,0,Senegal,2036.9265786548042,319.75814287867655,14883.85713184272,6360.41619997424,6.428451180925013,0.44419402702706134,0.44815604750989957,-0.35957350909086516,-1,0.494
433,Senegal,1988,Summer,23,0,1,0,1,Senegal,2087.731184097779,319.11104452350986,17204.9658264553,7531.184012802965,7.299110226994285,0.4964133685267246,0.43805538839762836,-0.36967416820313637,-1,0.492
433,Senegal,1992,Summer,20,0,0,0,0,Senegal,2018.0327012591251,314.67403600897563,18457.488213311655,8113.948299834038,8.188616934530812,0.5611309865189154,0.4107946073786182,-0.3969349492221465,-1,0.537
433,Senegal,1994,Winter,1,0,0,0,0,Senegal,1941.1346215551353,306.9920186439951,19029.80481887324,8168.244937602072,8.66441170554642,0.6074031653165486,0.4205035170918253,-0.3872260395089394,-1,0.629
